2026/08/11 16:47更新,#genre#
睛彩羽毛球,http://123.118.58.227:8686/rtp/239.3.1.127:8001
睛彩篮球,http://123.118.58.227:8686/rtp/239.3.1.126:8001
睛彩广场,http://123.118.58.227:8686/rtp/239.3.1.128:8001
欢笑剧场,http://183.220.20.17:4321/rtp/239.10.0.129:5140
都市剧场,http://183.220.20.17:4321/rtp/239.10.0.106:5140
法治天地,http://183.220.20.17:4321/rtp/239.10.0.180:5140
乐游,http://183.220.20.17:4321/rtp/239.10.0.105:5140
金色学堂,http://183.220.20.17:4321/rtp/239.10.0.179:5140
动漫秀场,http://183.220.20.17:4321/rtp/239.10.0.101:5140
生活时尚,http://183.220.20.17:4321/rtp/239.10.0.102:5140
咪咕体育,http://183.220.20.17:4321/rtp/239.10.0.232:5140
卡酷少儿,http://123.118.58.227:8686/rtp/239.3.1.189:8000
优漫卡通,http://183.220.20.17:4321/rtp/239.11.0.63:5140
哈哈炫动,http://183.220.20.17:4321/rtp/239.11.0.64:5140
嘉佳卡通,http://123.118.58.227:8686/rtp/239.3.1.147:9268
新动漫,http://183.220.20.17:4321/rtp/239.10.0.159:5140
茶频道,http://123.118.58.227:8686/rtp/239.3.1.165:8001
金鹰卡通,http://123.118.58.227:8686/rtp/239.3.1.51:9252
金鹰纪实,http://123.118.58.227:8686/rtp/239.3.1.58:8156
快乐垂钓,http://123.118.58.227:8686/rtp/239.3.1.164:8001
纪实科教,http://123.118.58.227:8686/rtp/239.3.1.115:8000
求索纪录,http://183.220.20.17:4321/rtp/239.10.0.221:5140
☘️北京市,#genre#
北京国际频道,http://123.118.58.227:8686/rtp/239.3.1.235:8000
北京影视频道,http://123.118.58.227:8686/rtp/239.3.1.158:8000
北京新闻频道,http://123.118.58.227:8686/rtp/239.3.1.159:8000
北京生活频道,http://123.118.58.227:8686/rtp/239.3.1.117:8000
北京文艺频道,http://123.118.58.227:8686/rtp/239.3.1.242:8000
北京财经频道,http://123.118.58.227:8686/rtp/239.3.1.116:8000
北京IPTV淘BABY,http://123.118.58.227:8686/rtp/239.3.1.238:8001
北京IPTV淘娱乐,http://123.118.58.227:8686/rtp/239.3.1.100:8001
北京IPTV萌宠TV,http://123.118.58.227:8686/rtp/239.3.1.102:8001
北京体育休闲,http://123.118.58.227:8686/rtp/239.3.1.243:8000
北京IPTV淘电影,http://123.118.58.227:8686/rtp/239.3.1.250:8001
北京IPTV淘剧场,http://123.118.58.227:8686/rtp/239.3.1.95:8001
朝阳融媒,http://123.118.58.227:8686/rtp/239.3.1.163:8001
房山电视台,http://123.118.58.227:8686/rtp/239.3.1.96:8001
密云电视台,http://123.118.58.227:8686/rtp/239.3.1.154:8001
延庆电视台,http://123.118.58.227:8686/rtp/239.3.1.187:8001
☘️上海市,#genre#
新闻综合,http://39.77.26.109:4002/rtp/239.253.254.248:8000
都市频道,http://60.4.31.149:8077/rtp/239.253.92.172:6002
东方财经,http://183.220.20.17:4321/rtp/239.10.0.178:5140
上海游戏风云,http://183.220.20.17:4321/rtp/239.10.0.103:5140
☘️重庆市,#genre#
古装剧场,http://123.118.58.227:8686/rtp/239.3.1.69:4120
☘️福建省,#genre#
福建综合频道,http://112.109.206.43:9999/rtp/239.255.40.148:8208
福建公共频道,http://112.109.206.43:9999/rtp/239.255.40.150:8208
福建新闻频道,http://112.109.206.43:9999/rtp/239.255.40.151:8208
福建电视剧频道,http://112.109.206.43:9999/rtp/239.255.40.152:8208
福建经济频道,http://112.109.206.43:9999/rtp/239.255.40.154:8208
福建文体频道,http://112.109.206.43:9999/rtp/239.255.40.155:8208
福建少儿频道,http://112.109.206.43:9999/rtp/239.255.40.156:8208
福建教育频道,http://112.109.206.43:9999/rtp/239.255.40.106:8208
福建旅游频道,http://112.109.206.43:9999/rtp/239.255.40.153:8208
厦门一套,http://112.109.206.43:9999/rtp/239.255.40.171:8208
平潭卫视,http://112.109.206.43:9999/rtp/239.255.40.191:8208
龙岩综合频道,http://112.109.206.43:9999/rtp/239.255.40.160:8208
福州新闻,http://112.109.206.43:9999/rtp/239.255.40.170:8208
泉州一套,http://112.109.206.43:9999/rtp/239.255.40.172:8208
莆田新闻,http://112.109.206.43:9999/rtp/239.255.40.140:8208
华数电视剧,http://112.109.206.43:9999/rtp/239.255.40.65:8208
☘️河南省,#genre#
河南民生频道,http://219.156.92.27:4022/rtp/225.1.4.53:1082
河南法治频道,http://219.156.92.27:4022/rtp/225.1.4.54:1083
河南电视剧频道,http://219.156.92.27:4022/rtp/225.1.4.55:1084
河南新闻频道,http://219.156.92.27:4022/rtp/225.1.4.56:1085
河南公共频道,http://219.156.92.27:4022/rtp/225.1.4.58:1087
河南乡村频道,http://219.156.92.27:4022/rtp/225.1.4.120:1149
河南收藏天下,http://219.156.92.27:4022/rtp/225.1.4.100:1129
河南戏曲频道,http://219.156.92.27:4022/rtp/225.1.4.99:1128
河南中华功夫,http://219.156.92.27:4022/rtp/225.1.4.101:1130
河南移动电视,http://219.156.92.27:4022/rtp/225.1.5.40:1350
河南IPTV导视,http://219.156.92.27:4022/rtp/225.1.4.194:1244
河南文物宝库,http://39.77.26.109:4002/rtp/239.253.254.141:8000
河南武术世界,http://39.77.26.109:4002/rtp/239.253.254.140:8000
河南欢腾购物,http://219.156.92.27:4022/rtp/225.1.4.57:1086
☘️河北省,#genre#
河北经济生活,http://60.4.31.149:8077/rtp/239.253.92.171:6001
河北影视剧频道,http://60.4.31.149:8077/rtp/239.253.92.173:6003
河北少儿科教,http://60.4.31.149:8077/rtp/239.253.92.174:6004
河北文旅公共,http://60.4.31.149:8077/rtp/239.253.92.175:6005
河北三农频道,http://60.4.31.149:8077/rtp/239.253.92.176:6006
睛彩河北,http://60.4.31.149:8077/rtp/239.253.92.104:6221
九屏直播频道,http://60.4.31.149:8077/rtp/239.253.92.203:6150
羽毛球专区,http://60.4.31.149:8077/rtp/239.253.93.202:6380
石家庄文化娱乐,http://60.4.31.149:8077/rtp/239.253.92.93:8120
石家庄城市服务,http://60.4.31.149:8077/rtp/239.253.92.94:8121
承德旅游文化,http://60.4.31.149:8077/rtp/239.253.92.223:8113
秦皇岛公共频道,http://60.4.31.149:8077/rtp/239.253.92.53:6022
唐山生活服务,http://60.4.31.149:8077/rtp/239.253.92.126:6026
唐山影视频道,http://60.4.31.149:8077/rtp/239.253.92.127:6027
唐山公共频道,http://60.4.31.149:8077/rtp/239.253.92.128:6028
廊坊生活频道,http://60.4.31.149:8077/rtp/239.253.92.166:6037
保定公共频道,http://60.4.31.149:8077/rtp/239.253.93.4:6157
保定生活健康,http://60.4.31.149:8077/rtp/239.253.93.5:6158
衡水经济科教,http://60.4.31.149:8077/rtp/239.253.93.7:6160
邢台综合频道,http://60.4.31.149:8077/rtp/239.253.93.8:6161
邢台城市生活,http://60.4.31.149:8077/rtp/239.253.93.10:6163
邯郸公共频道,http://60.4.31.149:8077/rtp/239.253.93.12:6165
邯郸科技教育,http://60.4.31.149:8077/rtp/239.253.93.13:6166
高邑融媒,http://60.4.31.149:8077/rtp/239.253.92.160:6041
井陉矿区电视台,http://60.4.31.149:8077/rtp/239.253.92.215:6067
深泽综合频道,http://60.4.31.149:8077/rtp/239.253.94.31:6630
晋州综合频道,http://60.4.31.149:8077/rtp/239.253.93.156:6324
井陉综合频道,http://60.4.31.149:8077/rtp/239.253.93.205:6383
平泉综合频道,http://60.4.31.149:8077/rtp/239.253.92.156:6012
兴隆综合频道,http://60.4.31.149:8077/rtp/239.253.93.104:6271
隆化综合频道,http://60.4.31.149:8077/rtp/239.253.93.174:6342
康保综合频道,http://60.4.31.149:8077/rtp/239.253.93.165:6333
遵化综合频道,http://60.4.31.149:8077/rtp/239.253.93.177:6345
三河综合频道,http://60.4.31.149:8077/rtp/239.253.93.143:6311
成安综合频道,http://60.4.31.149:8077/rtp/239.253.93.178:6346
魏县综合新闻,http://60.4.31.149:8077/rtp/239.253.93.185:6353
滦南综合频道,http://60.4.31.149:8077/rtp/239.253.92.218:6100
玉田综合频道,http://60.4.31.149:8077/rtp/239.253.92.118:6133
吴桥综合频道,http://60.4.31.149:8077/rtp/239.253.93.169:6337
