2026/08/11 15:44更新,#genre#
IPTV11戏曲,http://114.254.35.127:18888/rtp/239.3.1.78:4120
IPTV武术,http://114.254.35.127:18888/rtp/239.3.1.87:4120
高网,http://112.66.104.195:8888/rtp/239.253.64.250:5140
IPTV台球,http://114.254.35.127:18888/rtp/239.3.1.85:4120
IPTV收视指南,http://114.254.35.127:18888/rtp/239.3.1.193:8012
IPTV鉴赏,http://114.254.35.127:18888/rtp/239.3.1.82:4120
IPTV墨宝,http://114.254.35.127:18888/rtp/239.3.1.83:4120
IPTV美人,http://114.254.35.127:18888/rtp/239.3.1.73:4120
IPTV7军事,http://114.254.35.127:18888/rtp/239.3.1.76:4120
IPTV10解密,http://114.254.35.127:18888/rtp/239.3.1.75:4120
IPTV美妆,http://114.254.35.127:18888/rtp/239.3.1.72:4120
IPTV好学生,http://114.254.35.127:18888/rtp/239.3.1.81:4120
IPTV国学,http://114.254.35.127:18888/rtp/239.3.1.77:4120
IPTV爱生活,http://114.254.35.127:18888/rtp/239.3.1.86:4120
IPTV3+,http://112.66.104.195:8888/rtp/239.253.64.10:5140
北京IPTV4K超清,http://114.254.35.127:18888/rtp/239.3.1.249:8001
IPTV5,http://183.222.206.14:8096/udp/239.94.1.44:5140
IPTV8+,http://112.66.104.195:8888/rtp/239.253.64.160:5140
光影,http://114.254.35.127:18888/rtp/239.3.1.84:4120
先锋乒羽,http://183.222.206.14:8096/udp/239.94.1.151:5140
天元围棋,http://183.222.206.14:8096/udp/239.94.1.152:5140
精彩影视,http://183.222.206.14:8096/udp/239.94.1.172:5140
睛彩青少,http://112.66.104.195:8888/rtp/239.253.64.153:5140
睛彩竞技,http://114.254.35.127:18888/rtp/239.3.1.125:8001
睛彩羽毛球,http://114.254.35.127:18888/rtp/239.3.1.127:8001
睛彩篮球,http://114.254.35.127:18888/rtp/239.3.1.126:8001
睛彩广场舞,http://114.254.35.127:18888/rtp/239.3.1.128:8001
欢笑剧场,http://183.222.206.14:8096/udp/239.94.1.176:5140
上海都市剧场,http://114.100.195.214:4022/rtp/238.1.78.74:6464
上海法治天地,http://114.100.195.214:4022/rtp/238.1.78.84:6544
上海乐游纪实,http://114.100.195.214:4022/rtp/238.1.78.151:7080
四海钓鱼,http://183.222.206.14:8096/udp/239.94.1.168:5140
上海金色学堂,http://114.100.195.214:4022/rtp/238.1.78.76:6480
上海动漫秀场,http://114.100.195.214:4022/rtp/238.1.78.154:7104
上海生活时尚,http://114.100.195.214:4022/rtp/238.1.78.155:7112
iHOT爱院线,http://183.222.206.14:8096/udp/239.94.1.132:5140
iHOT爱科幻,http://183.222.206.14:8096/udp/239.94.1.131:5140
iHOT爱浪漫,http://183.222.206.14:8096/udp/239.94.1.128:5140
iHOT爱喜剧,http://183.222.206.14:8096/udp/239.94.2.71:5140
iHOT爱都市,http://183.222.206.14:8096/udp/239.93.42.15:5140
iHOT爱悬疑,http://183.222.206.14:8096/udp/239.94.1.136:5140
iHOT爱赛车,http://183.222.206.14:8096/udp/239.94.1.144:5140
iHOT爱奇谈,http://183.222.206.14:8096/udp/239.94.1.130:5140
iHOT爱玩具,http://183.222.206.14:8096/udp/239.94.1.140:5140
iHOT爱旅行,http://183.222.206.14:8096/udp/239.94.1.137:5140
iHOT爱幼教,http://183.222.206.14:8096/udp/239.94.1.139:5140
iHOT爱谍战,http://183.222.206.14:8096/udp/239.94.1.134:5140
iHOT爱历史,http://183.222.206.14:8096/udp/239.94.1.135:5140
iHOT爱动漫,http://183.222.206.14:8096/udp/239.94.1.141:5140
iHOT爱体育,http://183.222.206.14:8096/udp/239.94.1.143:5140
BesTV_热门剧场,http://183.222.206.14:8096/udp/239.94.1.26:5140
BesTV_谍战剧场,http://183.222.206.14:8096/udp/239.94.1.28:5140
BesTV_星光院线,http://183.222.206.14:8096/udp/239.94.1.23:5140
BesTV_全球大片,http://183.222.206.14:8096/udp/239.94.1.24:5140
少儿天地,http://183.222.206.14:8096/udp/239.94.1.138:5140
卡酷少儿,http://114.100.195.214:4022/rtp/238.1.78.97:6648
嘉佳卡通,http://114.254.35.127:18888/rtp/239.3.1.147:9268
茶频道,http://114.100.195.214:4022/rtp/238.1.79.30:4352
金鹰卡通,http://114.100.195.214:4022/rtp/238.1.78.100:6672
金鹰纪实,http://114.100.195.214:4022/rtp/238.1.79.9:4184
金色学堂,http://183.222.206.14:8096/udp/239.94.1.165:5140
快乐垂钓,http://114.100.195.214:4022/rtp/238.1.79.31:4360
上海纪实,http://112.66.104.195:8888/rtp/239.253.64.149:5140
北京纪实科教,http://114.254.35.127:18888/rtp/239.3.1.115:8000
求索频道,http://183.222.206.14:8096/udp/239.94.1.142:5140
☘️安徽省,#genre#
安徽国际,http://114.100.195.214:4022/rtp/238.1.78.61:6360
安徽影视,http://114.100.195.214:4022/rtp/238.1.79.42:4448
安徽经济生活,http://114.100.195.214:4022/rtp/238.1.79.44:4464
安徽公共,http://114.100.195.214:4022/rtp/238.1.79.43:4456
安徽综艺体育,http://114.100.195.214:4022/rtp/238.1.79.41:4440
安徽农业科教,http://114.100.195.214:4022/rtp/238.1.79.40:4432
合肥新闻,http://114.100.195.214:4022/rtp/238.1.78.111:6760
肥西新闻综合,http://114.100.195.214:4022/rtp/238.1.78.185:7352
黄山新闻综合,http://114.100.195.214:4022/rtp/238.1.78.130:6912
黄山文旅频道,http://114.100.195.214:4022/rtp/238.1.78.131:6920
黄山区融媒,http://114.100.195.214:4022/rtp/238.1.78.199:7464
蚌埠新闻综合,http://114.100.195.214:4022/rtp/238.1.78.180:7312
滁州新闻综合,http://114.100.195.214:4022/rtp/238.1.78.132:6928
滁州科教频道,http://114.100.195.214:4022/rtp/238.1.78.133:6936
滁州公共频道,http://114.100.195.214:4022/rtp/238.1.78.134:6944
池州新闻综合,http://114.100.195.214:4022/rtp/238.1.78.147:7048
淮北新闻综合,http://114.100.195.214:4022/rtp/238.1.78.135:6952
淮北经济生活,http://114.100.195.214:4022/rtp/238.1.78.136:6960
